Color,Nombre,SubCategoria.Nombre
Blue,"Cuadro de paseo GA: azul, 60",Cuadro de paseo
Blue,"Cuadro de paseo GB: azul, 44",Cuadro de paseo
Blue,"Cuadro de paseo GB: azul, 50",Cuadro de paseo
Blue,"Cuadro de paseo GB: azul, 54",Cuadro de paseo
Blue,"Cuadro de paseo GB: azul, 58",Cuadro de paseo
Blue,"Cuadro de paseo GB: azul, 62",Cuadro de paseo
Blue,"Paseo: 1000, azul, 46",Bicicleta de paseo
Blue,"Paseo: 1000, azul, 50",Bicicleta de paseo
Blue,"Paseo: 1000, azul, 54",Bicicleta de paseo
Blue,"Paseo: 1000, azul, 60",Bicicleta de paseo
Blue,"Paseo: 2000, azul, 46",Bicicleta de paseo
Blue,"Paseo: 2000, azul, 50",Bicicleta de paseo
Blue,"Paseo: 2000, azul, 54",Bicicleta de paseo
Blue,"Paseo: 2000, azul, 60",Bicicleta de paseo
Blue,"Paseo: 3000, azul, 44",Bicicleta de paseo
Blue,"Paseo: 3000, azul, 50",Bicicleta de paseo
Blue,"Paseo: 3000, azul, 54",Bicicleta de paseo
Blue,"Paseo: 3000, azul, 58",Bicicleta de paseo
Blue,"Paseo: 3000, azul, 62",Bicicleta de paseo
Grey,"Cesta de paseo, grande",Cesta
Multi,"Jersey con logotipo de manga larga, G",Jersey
Multi,"Jersey con logotipo de manga larga, M",Jersey
Multi,"Jersey con logotipo de manga larga, P",Jersey
Multi,"Jersey con logotipo de manga larga, SG",Jersey
NA,Bomba de montaña,Bomba
NA,Cable antirrobo,Candado
NA,Conjunto de guardabarros: montaña,Guardabarros
NA,Cubierta de carretera GA,Cubierta y cámara
NA,Cubierta de carretera GB,Cubierta y cámara
NA,Cubierta de carretera GM,Cubierta y cámara
NA,Cubierta de montaña GA,Cubierta y cámara
NA,Cubierta de montaña GB,Cubierta y cámara
NA,Cubierta de montaña GM,Cubierta y cámara
NA,Cubierta de paseo,Cubierta y cámara
NA,Cubierta para cámara de carretera,Cubierta y cámara
NA,Cubierta para cámara de montaña,Cubierta y cámara
NA,Cubierta para cámara de paseo,Cubierta y cámara
NA,Dirección GA,Dirección
NA,Dirección GB,Dirección
NA,Dirección GM,Dirección
NA,Eje de pedalier GA,Eje de pedalier
NA,Eje de pedalier GB,Eje de pedalier
NA,Eje de pedalier GM,Eje de pedalier
NA,Horquilla GA,Horquilla
NA,Horquilla GB,Horquilla
NA,Horquilla GM,Horquilla
NA,Lavado de bicicletas: disolvente,Limpiador
NA,Luces: doble haz,Luz
NA,Luces: resistentes al agua,Luz
NA,Manillar de carretera GA,Barra
NA,Manillar de carretera GB,Barra
NA,Manillar de carretera GM,Barra
NA,Manillar de paseo GA,Barra
NA,Manillar de paseo GB,Barra
NA,Portabotellas de carretera,Portabotellas y botella
NA,Portabotellas de montaña,Portabotellas y botella
NA,Sillín/asiento de carretera GA,Sillín
NA,Sillín/asiento de carretera GB,Sillín
NA,Sillín/asiento de carretera GM,Sillín
NA,Sillín/asiento de paseo GA,Sillín
NA,Sillín/asiento de paseo GB,Sillín
NA,Sillín/asiento de paseo GM,Sillín
NA,Soporte multiusos para bicicletas,Soporte para bicicletas
Red,"Carretera: 150, roja, 44",Bicicleta de carretera
Red,"Carretera: 150, roja, 48",Bicicleta de carretera
Red,"Carretera: 150, roja, 52",Bicicleta de carretera
Red,"Carretera: 150, roja, 56",Bicicleta de carretera
Red,"Carretera: 150, roja, 62",Bicicleta de carretera
Red,"Carretera: 250, roja, 44",Bicicleta de carretera
Red,"Carretera: 250, roja, 48",Bicicleta de carretera
Red,"Carretera: 250, roja, 52",Bicicleta de carretera
Red,"Carretera: 250, roja, 58",Bicicleta de carretera
Red,"Carretera: 450, roja, 44",Bicicleta de carretera
Red,"Carretera: 450, roja, 48",Bicicleta de carretera
Red,"Carretera: 450, roja, 52",Bicicleta de carretera
Red,"Carretera: 450, roja, 58",Bicicleta de carretera
Red,"Carretera: 450, roja, 60",Bicicleta de carretera
Red,"Carretera: 650, roja, 44",Bicicleta de carretera
Red,"Carretera: 650, roja, 48",Bicicleta de carretera
Red,"Carretera: 650, roja, 52",Bicicleta de carretera
Red,"Carretera: 650, roja, 58",Bicicleta de carretera
Red,"Carretera: 650, roja, 60",Bicicleta de carretera
Red,"Carretera: 650, roja, 62",Bicicleta de carretera
Red,"Casco deportivo: 100, rojo",Casco
Red,"Cuadro de carretera GA: rojo, 44",Cuadro de carretera
Red,"Cuadro de carretera GA: rojo, 48",Cuadro de carretera
Red,"Cuadro de carretera GA: rojo, 52",Cuadro de carretera
Red,"Cuadro de carretera GA: rojo, 56",Cuadro de carretera
Red,"Cuadro de carretera GA: rojo, 62",Cuadro de carretera
Red,"Cuadro de carretera GB: rojo, 44",Cuadro de carretera
Red,"Cuadro de carretera GB: rojo, 48",Cuadro de carretera
Red,"Cuadro de carretera GB: rojo, 52",Cuadro de carretera
Red,"Cuadro de carretera GB: rojo, 58",Cuadro de carretera
Red,"Cuadro de carretera GB: rojo, 60",Cuadro de carretera
Red,"Cuadro de carretera GB: rojo, 62",Cuadro de carretera
Red,"Cuadro de carretera GM: rojo, 44",Cuadro de carretera
Red,"Cuadro de carretera GM: rojo, 48",Cuadro de carretera
Red,"Cuadro de carretera GM: rojo, 52",Cuadro de carretera
Red,"Cuadro de carretera GM: rojo, 58",Cuadro de carretera
Red,"Cuadro de carretera GM: rojo, 60",Cuadro de carretera
Silver,Cadena,Cadena
Silver,Desviador delantero,Desviador
Silver,Desviador trasero,Desviador
Silver,Frenos delanteros,Frenos
Silver,Frenos traseros,Frenos
Silver,"Montaña: 100, plateada, 38",Bicicleta de montaña
Silver,"Montaña: 100, plateada, 42",Bicicleta de montaña
Silver,"Montaña: 100, plateada, 44",Bicicleta de montaña
Silver,"Montaña: 100, plateada, 48",Bicicleta de montaña
Silver,"Montaña: 200, plateada, 38",Bicicleta de montaña
Silver,"Montaña: 200, plateada, 42",Bicicleta de montaña
Silver,"Montaña: 200, plateada, 46",Bicicleta de montaña
Silver,"Montaña: 400 para mujer, plateada, 38",Bicicleta de montaña
Silver,"Montaña: 400 para mujer, plateada, 40",Bicicleta de montaña
Silver,"Montaña: 400 para mujer, plateada, 42",Bicicleta de montaña
Silver,"Montaña: 400 para mujer, plateada, 46",Bicicleta de montaña
Silver,"Montaña: 500, plateada, 40",Bicicleta de montaña
Silver,"Montaña: 500, plateada, 42",Bicicleta de montaña
Silver,"Montaña: 500, plateada, 44",Bicicleta de montaña
Silver,"Montaña: 500, plateada, 48",Bicicleta de montaña
Silver,"Montaña: 500, plateada, 52",Bicicleta de montaña
Silver/Black,Pedal de carretera GA,Pedal
Silver/Black,Pedal de carretera GB,Pedal
Silver/Black,Pedal de carretera GM,Pedal
Silver/Black,Pedal de montaña GA,Pedal
Silver/Black,Pedal de montaña GB,Pedal
Silver/Black,Pedal de montaña GM,Pedal
Silver/Black,Pedal de paseo,Pedal
White,"Calcetines para bicicleta de montaña, G",Calcetines
White,"Calcetines para bicicleta de montaña, M",Calcetines
White,"Calcetines para carreras, G",Calcetines
White,"Calcetines para carreras, M",Calcetines
Yellow,"Carretera: 350 para mujer, amarilla, 40",Bicicleta de carretera
Yellow,"Carretera: 350 para mujer, amarilla, 42",Bicicleta de carretera
Yellow,"Carretera: 350 para mujer, amarilla, 44",Bicicleta de carretera
Yellow,"Carretera: 350 para mujer, amarilla, 48",Bicicleta de carretera
Yellow,"Carretera: 550 para mujer, amarilla, 38",Bicicleta de carretera
Yellow,"Carretera: 550 para mujer, amarilla, 40",Bicicleta de carretera
Yellow,"Carretera: 550 para mujer, amarilla, 42",Bicicleta de carretera
Yellow,"Carretera: 550 para mujer, amarilla, 44",Bicicleta de carretera
Yellow,"Carretera: 550 para mujer, amarilla, 48",Bicicleta de carretera
Yellow,"Cuadro de carretera para mujer GM: amarillo, 38",Cuadro de carretera
Yellow,"Cuadro de carretera para mujer GM: amarillo, 40",Cuadro de carretera
Yellow,"Cuadro de carretera para mujer GM: amarillo, 42",Cuadro de carretera
Yellow,"Cuadro de carretera para mujer GM: amarillo, 44",Cuadro de carretera
Yellow,"Cuadro de carretera para mujer GM: amarillo, 48",Cuadro de carretera
Yellow,"Cuadro de paseo GA: amarillo, 46",Cuadro de paseo
Yellow,"Cuadro de paseo GA: amarillo, 50",Cuadro de paseo
Yellow,"Cuadro de paseo GA: amarillo, 54",Cuadro de paseo
Yellow,"Cuadro de paseo GA: amarillo, 60",Cuadro de paseo
Yellow,"Cuadro de paseo GB: amarillo, 44",Cuadro de paseo
Yellow,"Cuadro de paseo GB: amarillo, 50",Cuadro de paseo
Yellow,"Cuadro de paseo GB: amarillo, 54",Cuadro de paseo
Yellow,"Cuadro de paseo GB: amarillo, 58",Cuadro de paseo
Yellow,"Cuadro de paseo GB: amarillo, 62",Cuadro de paseo
Yellow,"Jersey clásico de manga corta, G",Jersey
Yellow,"Jersey clásico de manga corta, M",Jersey
Yellow,"Jersey clásico de manga corta, P",Jersey
Yellow,"Jersey clásico de manga corta, SG",Jersey
Yellow,"Paseo: 1000, amarilla, 46",Bicicleta de paseo
Yellow,"Paseo: 1000, amarilla, 50",Bicicleta de paseo
Yellow,"Paseo: 1000, amarilla, 54",Bicicleta de paseo
Yellow,"Paseo: 1000, amarilla, 60",Bicicleta de paseo
Yellow,"Paseo: 3000, amarilla, 44",Bicicleta de paseo
Yellow,"Paseo: 3000, amarilla, 50",Bicicleta de paseo
Yellow,"Paseo: 3000, amarilla, 54",Bicicleta de paseo
Yellow,"Paseo: 3000, amarilla, 58",Bicicleta de paseo
Yellow,"Paseo: 3000, amarilla, 62",Bicicleta de paseo
